institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,total_graduating,total_placed,total_higher_studies,placement_rate_pct,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc,matched_journal_docs,quartile_match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0474,2023,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,53.39,35.72,64.67,66.38,29.46,49.26,51,1309,14173,10.83,2392,1900,377,79.4,209,829,145,214552500,1365,16014,11.73,801,58.7,29.1,31.2,21.1,18.6
IR-O-U-0474,2024,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,59.05,36.30,63.32,70.64,38.37,52.16,51,1389,15623,11.25,3386,2709,585,80.0,404,528,158,225725203,1465,11120,7.59,796,54.3,33.2,27.9,21.2,17.7
IR-O-U-0474,2025,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,61.34,31.31,68.96,72.96,36.39,52.52,53,1407,16658,11.84,4311,3821,402,88.6,552,362,176,59341089,3022,9318,3.08,1623,53.7,32.4,32.6,21.7,13.3
IR-O-I-1441,2021,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,61.78,34.28,64.91,65.99,19.52,50.36,29,876,9797,11.18,2040,1834,148,89.9,155,570,5240,11132000,532,17989,33.81,330,62.0,29.7,41.8,11.2,17.3
IR-O-I-1441,2022,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,56.29,43.01,69.46,65.97,21.71,52.45,26,831,10643,12.81,2060,1838,173,89.2,278,708,6270,89229138,2181,52533,24.09,1439,66.0,30.8,45.4,11.3,12.5
IR-O-I-1441,2023,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,69.83,52.18,71.30,67.38,33.76,60.98,13,788,10624,13.48,2262,2024,234,89.5,341,652,5225,20703310,3656,68072,18.62,1892,51.8,48.2,30.8,12.5,8.6
IR-O-I-1441,2024,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,72.59,60.87,72.82,66.07,34.05,64.62,11,900,11033,12.26,2501,2099,308,83.9,414,1021,3038,283062130,5000,63614,12.72,2881,57.6,46.5,27.6,15.5,10.4
IR-O-I-1441,2025,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,76.12,56.28,73.63,71.44,34.49,65.04,13,1129,13987,12.39,2569,2119,447,82.5,658,849,59,31051289,5000,37943,7.59,3518,70.4,49.9,32.7,14.0,3.4
IR-O-U-0323,2021,Savitribai Phule Pune University,Pune,Maharashtra,62.95,42.77,86.96,50.92,41.49,58.34,11,712,4427,6.22,2270,792,116,34.9,1875,0,150,568083583,980,19792,20.2,757,77.2,39.9,29.3,17.4,13.3
IR-O-U-0323,2022,Savitribai Phule Pune University,Pune,Maharashtra,63.66,41.64,92.44,52.07,41.88,59.48,12,752,5163,6.87,2694,642,150,23.8,1400,0,95,304996410,1116,20723,18.57,881,78.9,38.9,36.1,16.9,8.1
