year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,pdf_url,faculty_count,total_student_strength,student_strength_breakdown,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,parse_status,faculty_section_raw
2025,IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,51.46,39.42,79.40,50.16,41.63,52.33,56,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0323.pdf,653,6220,"{""UG [3 Years Program(s)]"": 739, ""UG [4 Years Program(s)]"": 541, ""PG [1 Year Program(s)]"": 33, ""PG [2 Year Program(s)]"": 4545, ""PG [3 Year Program(s)]"": 55, ""PG-Integrated"": 307}",1263,0,183,0,225,0,478,0,128,70,60,53,24,15,338721516,74580443,389095394,ok,Number of faculty members entered 653
2025,IR-O-U-0642,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,72.19,26.47,65.82,66.64,27.64,52.18,57,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0642.pdf,232,3002,"{""UG [4 Years Program(s)]"": 2746, ""PG [2 Year Program(s)]"": 247, ""PG-Integrated"": 9}",456,11,43,0,33,0,29,1,50,72,53,10,15,12,77300680,46955000,34877000,ok,Number of faculty members entered 232
2025,IR-O-U-0749,Manipal University Jaipur,Jaipur,Rajasthan,63.48,33.80,64.04,66.76,28.98,51.57,58,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0749.pdf,974,14206,"{""UG [3 Years Program(s)]"": 3287, ""UG [4 Years Program(s)]"": 9265, ""UG [5 Years Program(s)]"": 939, ""PG [1 Year Program(s)]"": 26, ""PG [2 Year Program(s)]"": 689}",355,326,24,63,32,57,13,32,11,21,23,11,20,19,128653608,154374341,35302812,ok,Number of faculty members entered 974
2025,IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,69.93,20.18,71.84,66.73,32.98,51.37,59,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-I-1361.pdf,1683,23726,"{""UG [3 Years Program(s)]"": 7912, ""UG [4 Years Program(s)]"": 4755, ""UG [5 Years Program(s)]"": 6440, ""PG [2 Year Program(s)]"": 3273, ""PG [3 Year Program(s)]"": 1132, ""PG [6 Year Program(s)]"": 214}",621,0,105,0,83,0,72,0,261,237,160,188,150,88,44508092,26886040,19632829,ok,Number of faculty members entered 1683
2025,IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,72.40,24.68,62.69,62.86,34.00,51.35,60,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-I-1486.pdf,662,8949,"{""UG [3 Years Program(s)]"": 800, ""UG [4 Years Program(s)]"": 3866, ""UG [5 Years Program(s)]"": 1658, ""PG [2 Year Program(s)]"": 1423, ""PG [3 Year Program(s)]"": 948, ""PG-Integrated"": 64, ""PG [6 Year Program(s)]"": 190}",250,344,18,19,12,16,14,20,284,299,344,38,125,47,757589218,582743692,159991467,ok,Number of faculty members entered 662
2025,IR-O-U-0451,Chettinad Academy of Research and Education,,,74.72,22.57,62.00,64.48,30.28,51.06,61,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0451.pdf,275,3001,"{""UG [3 Years Program(s)]"": 69, ""UG [4 Years Program(s)]"": 863, ""UG [5 Years Program(s)]"": 1414, ""PG [2 Year Program(s)]"": 88, ""PG [3 Year Program(s)]"": 498, ""PG-Integrated"": 69}",216,495,18,90,4,65,10,47,41,38,62,18,17,28,27205575,26139766,30498996,ok,Number of faculty members entered 275
2025,IR-O-U-0223,"Jain university,Bangalore",Bengaluru,Karnataka,59.10,29.35,71.84,64.86,35.46,50.95,62,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0223.pdf,1389,22242,"{""UG [3 Years Program(s)]"": 12698, ""UG [4 Years Program(s)]"": 4735, ""PG [2 Year Program(s)]"": 4809}",900,100,88,0,98,0,74,0,39,28,30,26,22,20,57318096,28566120,57603387,ok,Number of faculty members entered 1389
2025,IR-O-U-0217,Christ University,Bengaluru,Karnataka,56.19,28.34,65.44,74.23,50.48,50.92,63,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0217.pdf,1735,35193,"{""UG [3 Years Program(s)]"": 21292, ""UG [4 Years Program(s)]"": 2913, ""UG [5 Years Program(s)]"": 2949, ""PG [1 Year Program(s)]"": 162, ""PG [2 Year Program(s)]"": 7877}",691,628,25,57,39,8,33,0,60,47,29,35,31,17,83726801,32186597,28164497,ok,Number of faculty members entered 1735
2025,IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,72.79,37.60,60.95,50.75,4.49,50.84,64,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0381.pdf,700,3463,"{""UG [4 Years Program(s)]"": 1734, ""UG [6 Year Program(s)]"": 733, ""PG [2 Year Program(s)]"": 868, ""PG-Integrated"": 128}",407,0,120,0,109,0,85,0,551,480,545,180,186,167,1227127252,1273130173,1335712951,ok,Number of faculty members entered 700
2025,IR-O-U-0215,Bangalore University,Bengaluru,Karnataka,69.28,15.81,78.37,57.81,37.51,50.72,65,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0215.pdf,290,3709,"{""UG [5 Years Program(s)]"": 300, ""PG [2 Year Program(s)]"": 3409}",364,246,201,126,195,91,109,47,182,183,86,29,32,42,731306863,69318778,1221564000,ok,Number of faculty members entered 290
2025,IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,54.09,22.14,83.23,76.96,34.25,50.65,66,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0389.pdf,601,12383,"{""UG [3 Years Program(s)]"": 3881, ""UG [4 Years Program(s)]"": 5003, ""UG [5 Years Program(s)]"": 1142, ""PG [1 Year Program(s)]"": 7, ""PG [2 Year Program(s)]"": 2350}",894,0,279,0,249,0,233,0,37,36,36,15,15,16,12339932,10216490,12954195,ok,Number of faculty members entered 601
2025,IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,73.98,15.24,61.88,82.94,30.28,50.46,67,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0370.pdf,411,5150,"{""UG [3 Years Program(s)]"": 380, ""UG [4 Years Program(s)]"": 1506, ""UG [5 Years Program(s)]"": 2297, ""PG [2 Year Program(s)]"": 169, ""PG [3 Year Program(s)]"": 798}",331,139,20,15,10,8,0,2,70,62,85,23,33,51,174535000,175818705,146113100,ok,Number of faculty members entered 411
2025,IR-O-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,67.91,18.82,70.37,71.73,30.94,50.35,68,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0739.pdf,295,3996,"{""UG [3 Years Program(s)]"": 180, ""UG [4 Years Program(s)]"": 3240, ""PG [2 Year Program(s)]"": 576}",327,0,95,0,78,0,44,21,224,192,180,65,54,43,219866400,33700138,6600138,ok,Number of faculty members entered 295
2025,IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,43.95,46.29,68.77,65.33,28.00,50.16,69,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0190.pdf,207,4295,"{""UG [3 Years Program(s)]"": 973, ""UG [4 Years Program(s)]"": 2193, ""UG [5 Years Program(s)]"": 237, ""PG [1 Year Program(s)]"": 32, ""PG [2 Year Program(s)]"": 860}",337,0,63,0,57,0,54,0,15,8,12,5,4,6,14050723,6687405,12270963,ok,Number of faculty members entered 207
2025,IR-O-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,65.04,21.69,66.42,69.14,38.54,50.06,70,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0043.pdf,654,8884,"{""UG [3 Years Program(s)]"": 362, ""UG [4 Years Program(s)]"": 7989, ""PG [2 Year Program(s)]"": 533}",552,168,55,13,35,23,28,46,154,205,288,147,152,288,66774856,31718900,84597000,ok,Number of faculty members entered 654
2025,IR-O-U-0235,Mysore University,Mysuru,Karnataka,69.37,19.85,76.72,58.02,20.72,49.98,71,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0235.pdf,438,6549,"{""UG [4 Years Program(s)]"": 148, ""UG [5 Years Program(s)]"": 590, ""PG [1 Year Program(s)]"": 143, ""PG [2 Year Program(s)]"": 5668}",376,198,146,202,152,205,136,112,92,83,84,58,56,29,541756582,504384000,51470388,ok,Number of faculty members entered 438
2025,IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,68.46,16.42,70.12,73.58,30.39,49.89,72,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/University/IR-O-U-0331.pdf,275,3392,"{""UG [3 Years Program(s)]"": 120, ""UG [4 Years Program(s)]"": 301, ""PG [1 Year Program(s)]"": 44, ""PG [2 Year Program(s)]"": 2828, ""PG [3 Year Program(s)]"": 99, ""PG-Integrated"": 0}",346,193,70,39,70,0,70,0,261,370,392,186,234,235,330273724,316713386,315287303,ok,Number of faculty members entered 275
