institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc
IR-O-U-0223,2022,"Jain university, Bangalore",Bengluru,Karnataka,46.67,14.61,76.57,62.17,33.01,43.21,79,1186,19240,16.22,604,92,16,29074248,512,5967,11.65
IR-O-U-0223,2023,"Jain university, Bangalore",Bengaluru,Karnataka,53.30,19.34,75.59,65.56,33.76,46.85,68,1357,20484,15.1,735,100,30,57603387,1672,10447,6.25
IR-O-U-0223,2024,"Jain university, Bangalore",Bengaluru,Karnataka,59.87,23.80,72.52,64.94,33.76,49.47,65,1370,21650,15.8,874,100,28,28566120,3576,15430,4.31
IR-O-U-0223,2025,"Jain university, Bangalore",Bengaluru,Karnataka,59.10,29.35,71.84,64.86,35.46,50.95,62,1389,22242,16.01,900,100,39,57318096,3577,13849,3.87
IR-O-U-0107,2021,Jamia Hamdard,New Delhi,Delhi,57.82,27.62,69.75,60.64,23.67,48.02,41,473,5646,11.94,591,0,66,132475101,519,15310,29.5
IR-O-U-0107,2022,Jamia Hamdard,New Delhi,Delhi,56.93,30.15,70.35,60.93,26.53,48.93,45,482,6413,13.3,591,0,117,342615549,709,14515,20.47
IR-O-U-0107,2023,Jamia Hamdard,New Delhi,Delhi,56.02,32.49,70.37,66.02,26.19,49.85,49,531,6847,12.89,797,19,132,231920100,671,11596,17.28
IR-O-U-0107,2024,Jamia Hamdard,New Delhi,Delhi,68.66,34.45,70.20,66.17,32.62,54.86,40,637,7707,12.1,516,46,133,224794060,648,12467,19.24
IR-O-U-0107,2025,Jamia Hamdard,New Delhi,Delhi,64.66,34.02,71.31,66.74,35.63,54.10,47,638,7963,12.48,496,56,110,228658177,647,4380,6.77
IR-O-U-0108,2021,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,66.44,43.43,86.67,72.35,32.17,60.74,6,742,8623,11.62,1483,0,199,486864702,1380,35479,25.71
IR-O-U-0108,2022,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,68.16,47.38,92.46,81.14,46.50,65.91,3,752,8698,11.57,1488,0,141,657668287,1596,37548,23.53
IR-O-U-0108,2023,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,69.38,49.83,93.85,83.41,48.48,67.73,3,738,8723,11.82,1512,0,180,779349473,1612,28473,17.66
