year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,pdf_url,parse_status,faculty_section_raw
,,,,,,,,,,,,,344,223,102,63,74,37,67,26,,,,,,,,,,,ok,
,,,,,,,,,,,,,48,68,12,8,14,7,14,5,,,,,,,,,,,ok,
,,,,,,,,,,,,,46,114,3,17,2,29,0,18,,,,,,,,,,,ok,
,,,,,,,,,,,,,65,47,15,6,3,10,17,9,,,,,,,,,,,ok,
,,,,,,,,,,,,,14,37,0,2,0,3,0,2,,,,,,,,,,,ok,
,,,,,,,,,,,,,245,386,51,63,51,43,62,34,,,,,,,,,,,ok,
,,,,,,,,,,,,,602,228,165,42,95,25,81,20,,,,,,,,,,,ok,
,,,,,,,,,,,,,298,265,51,26,64,23,51,38,,,,,,,,,,,ok,
,,,,,,,,,,,,,727,0,60,0,58,0,66,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,469,64,26,6,68,3,31,4,,,,,,,,,,,ok,
,,,,,,,,,,,,,18,0,6,0,8,0,6,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,75,8,76,6,35,0,42,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,183,0,64,0,43,0,53,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1008,0,156,0,126,0,127,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,120,59,9,3,16,0,8,1,,,,,,,,,,,ok,
,,,,,,,,,,,,,205,0,43,0,60,0,32,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,333,181,75,19,65,41,46,7,,,,,,,,,,,ok,
