Year,Sample,Mean Scopus Volume,Median Scopus Volume,Match Rate (%),Mean % Q1,Mean % Q2,Mean % Q3,Mean % Q4,Mean % Q1+Q2,Mean % Q3+Q4
2021,Full Panel (N=70),1043.357142857143,614.5,74.75285714285714,33.10857142857143,30.07857142857143,20.585714285714282,16.234285714285708,63.187142857142874,36.82
2021,Tier 1: Rank 1-35 (N=34),1575.3235294117646,1299.0,77.35,37.07647058823529,31.167647058823523,17.36764705882353,14.388235294117647,68.24411764705881,31.755882352941185
2021,Tier 2: Rank 36-70 (N=36),540.9444444444445,417.5,72.30000000000001,29.36111111111111,29.049999999999997,23.624999999999996,17.977777777777778,58.41111111111112,41.60277777777779
2022,Full Panel (N=70),1268.8,809.5,77.97000000000001,33.34428571428571,33.98142857142857,18.368571428571425,14.31285714285714,67.32571428571428,32.681428571428576
2022,Tier 1: Rank 1-35 (N=34),1834.735294117647,1586.5,79.81764705882354,37.93529411764706,33.15588235294118,16.205882352941178,12.691176470588236,71.09117647058824,28.897058823529413
2022,Tier 2: Rank 36-70 (N=36),734.3055555555555,523.5,76.22500000000001,29.00833333333334,34.76111111111111,20.41111111111111,15.844444444444441,63.76944444444444,36.25555555555556
2023,Full Panel (N=70),1470.2428571428572,797.5,73.85428571428572,33.92142857142858,31.660000000000004,19.91,14.505714285714284,65.58142857142855,34.41571428571428
2023,Tier 1: Rank 1-35 (N=34),2001.3823529411766,1587.0,76.43235294117646,36.25,31.77647058823529,19.9,12.067647058823528,68.0264705882353,31.967647058823527
2023,Tier 2: Rank 36-70 (N=36),968.6111111111111,663.0,71.41944444444444,31.722222222222214,31.549999999999994,19.919444444444444,16.80833333333333,63.272222222222226,36.727777777777774
2024,Full Panel (N=70),1653.0857142857142,876.0,71.49428571428572,37.452173913043474,30.981159420289853,18.0,13.566666666666668,68.43333333333332,31.566666666666674
2024,Tier 1: Rank 1-35 (N=34),2164.205882352941,1560.5,73.5029411764706,41.15454545454545,30.92727272727273,16.60606060606061,11.318181818181818,72.08181818181816,27.924242424242426
2024,Tier 2: Rank 36-70 (N=36),1170.361111111111,730.5,69.59722222222223,34.05833333333333,31.03055555555555,19.27777777777778,15.627777777777778,65.08888888888887,34.90555555555556
2025,Full Panel (N=70),1759.4285714285713,895.5,74.42857142857143,36.90714285714286,30.724285714285713,18.938571428571425,13.432857142857143,67.63142857142859,32.37142857142858
2025,Tier 1: Rank 1-35 (N=34),2265.3823529411766,1645.5,77.93235294117648,39.69411764705882,30.188235294117643,19.382352941176475,10.729411764705883,69.88235294117646,30.11176470588235
2025,Tier 2: Rank 36-70 (N=36),1281.5833333333333,793.5,71.11944444444444,34.275,31.230555555555554,18.519444444444446,15.98611111111111,65.50555555555555,34.50555555555556
