,ln_scopus_docs,placement_rate_pct,faculty_per_100_students,ln_phd_scholars,ln_total_students,ln_sponsored_amount,higher_studies_rate_pct
ln_scopus_docs,1.0,-0.05056820185990601,0.05874146456037575,0.4437661559421602,0.44636723508825316,0.2111923602531518,0.14740999003901836
placement_rate_pct,-0.05056820185990601,1.0,-0.019749642399742837,-0.2590160857303002,0.29070773309218295,-0.20732474446656438,-0.31267347422161446
faculty_per_100_students,0.05874146456037575,-0.019749642399742837,1.0,0.13878149371000978,-0.389996720135159,0.36160019693690626,0.17833254810823296
ln_phd_scholars,0.4437661559421602,-0.2590160857303002,0.13878149371000978,1.0,0.30772779569539144,0.5475370792243212,0.3630253077643422
ln_total_students,0.44636723508825316,0.29070773309218295,-0.389996720135159,0.30772779569539144,1.0,-0.07543413510165885,0.010868130476753658
ln_sponsored_amount,0.2111923602531518,-0.20732474446656438,0.36160019693690626,0.5475370792243212,-0.07543413510165885,1.0,0.3857687633920577
higher_studies_rate_pct,0.14740999003901836,-0.31267347422161446,0.17833254810823296,0.3630253077643422,0.010868130476753658,0.3857687633920577,1.0
