institute_id,year,total_documents_all_types,matched_journal_docs,match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0747,2024,5000,2530,50.6,37.6,27.1,18.6,16.7
IR-O-U-0747,2025,5000,2852,57.0,36.6,31.5,18.1,13.8
IR-O-U-0749,2021,678,432,63.7,27.1,23.6,24.1,25.2
IR-O-U-0749,2022,1014,777,76.6,19.8,36.9,17.5,25.7
IR-O-U-0749,2023,1209,775,64.1,23.7,28.5,17.7,30.1
IR-O-U-0749,2024,1334,891,66.8,30.0,30.4,16.5,23.1
IR-O-U-0749,2025,2108,1537,72.9,41.1,27.4,14.0,17.5
IR-O-U-0784,2023,1,1,100.0,100.0,0.0,0.0,0.0
IR-O-U-0784,2024,6,4,66.7,0.0,0.0,50.0,50.0
IR-O-U-0784,2025,30,26,86.7,26.9,23.1,38.5,11.5
